id,naam,cat,plaats,provincie,rating,kassa,verified,bron,omschrijving
beekse-bergen,Safaripark Beekse Bergen,dierentuin,Hilvarenbeek,Noord-Brabant,4.5,32.50,2026-05-26,beeksebergen.nl,"Het grootste safaripark van de Benelux, te bezoeken per auto, boot, bus of te voet. Werkt met variabele entreeprijzen per dag."
dolfinarium,Dolfinarium,dierentuin,Harderwijk,Gelderland,4.2,29.00,2026-05-26,dolfinarium.nl,"Grootste zeezoogdierenpark van Europa met shows en interactieve verblijven. Online tickets zijn altijd voordeliger dan aan de kassa."
apenheul,Apenheul,dierentuin,Apeldoorn,Gelderland,4.6,29.00,2026-05-26,apenheul.com,"Unieke dierentuin in Apeldoorn waar apen vrij tussen de bezoekers rondlopen; werkt met variabele online prijzen per dag."
blijdorp,Diergaarde Blijdorp,dierentuin,Rotterdam,Zuid-Holland,4.6,32.50,2026-05-26,diergaardeblijdorp.nl,"Klassieke dierentuin in Rotterdam met onder meer het Oceanium; hanteert dynamische dagprijzen."
gaiazoo,GaiaZOO,dierentuin,Kerkrade,Limburg,4.6,25.50,2026-05-26,gaiazoo.nl,"Modern natuurpark in Kerkrade met ruime dierenverblijven en spectaculaire uitkijkpunten in Zuid-Limburg."
dierenpark-amersfoort,DierenPark Amersfoort,dierentuin,Amersfoort,Utrecht,4.6,31.50,2026-05-26,dierenparkamersfoort.nl,"Dierentuin in Amersfoort, populair bij gezinnen, met een dino-bos en een groot speelbos."
wildlands,Wildlands Adventure Zoo,dierentuin,Emmen,Drenthe,4.4,32.00,2026-05-26,wildlands.nl,"Vernieuwende dierentuin in Emmen met drie werelden — Jungola, Serenga en Nortica — inclusief boottocht en attracties."
tikibad,Tikibad (Duinrell),waterpark,Wassenaar,Zuid-Holland,4.4,20.00,2026-05-26,duinrell.nl,"Tropisch zwemparadijs met een van de grootste glijbaancollecties van Europa. Reserveren met tijdslot is verplicht; online bespaar je tot 15%."
plopsa-coevorden,Plopsa Indoor Coevorden,indoor,Coevorden,Drenthe,4.1,27.50,2026-05-26,plopsa.com,"Overdekt pretpark met attracties rond bekende kinderfiguren — ideaal bij slecht weer. Datumtickets zijn online flink voordeliger."
monkey-town,Monkey Town,indoor,Meerdere locaties,Landelijk,3.9,10.95,2026-05-26,monkeytown.eu,"Landelijke keten van indoor-speelparadijzen voor jonge kinderen. Begeleiders gratis; prijs per kind, tarieven verschillen per vestiging."
aqua-mundo,Aqua Mundo (Center Parcs),waterpark,Meerdere locaties,Landelijk,4.2,32.00,2026-05-26,centerparcs.nl,"Subtropisch zwemparadijs van Center Parcs, op verschillende locaties ook als losse daggast te bezoeken; prijzen verschillen per park en per dag."
de-bonte-wever,De Bonte Wever,waterpark,Assen,Drenthe,4.2,14.45,2026-05-26,debontewever.nl,"Zwem- en saunaparadijs in Assen met golfslagbad, wildwaterbaan en glijbanen; alles inclusief voor één tarief."
spoorwegmuseum,Het Spoorwegmuseum,museum,Utrecht,Utrecht,4.7,19.50,2026-05-26,spoorwegmuseum.nl,"Interactief spoorwegmuseum in een oud station in Utrecht, leuk voor het hele gezin; reserveren met tijdslot verplicht."
naturalis,Naturalis,museum,Leiden,Zuid-Holland,4.6,18.00,2026-05-26,naturalis.nl,"Natuurhistorisch museum in Leiden met dinosaurussen en een enorme natuurcollectie; populair bij gezinnen."
nemo,NEMO Science Museum,museum,Amsterdam,Noord-Holland,4.5,21.50,2026-05-26,nemosciencemuseum.nl,"Het grote groene science museum aan het IJ in Amsterdam, vol doe-experimenten; vaste prijs, online reserveren."
rijksmuseum,Rijksmuseum,museum,Amsterdam,Noord-Holland,4.7,23.50,2026-05-26,rijksmuseum.nl,"Het nationale museum van Nederland met onder meer de Nachtwacht; tickets uitsluitend online met vaste prijs en tijdslot."
vangogh,Van Gogh Museum,museum,Amsterdam,Noord-Holland,4.6,25.00,2026-05-26,vangoghmuseum.nl,"De grootste Van Gogh-collectie ter wereld in Amsterdam; tickets alleen online op datum en tijd, vaste prijs."
